label,label_A,label_CH,label_CR,label_J,label_LAW,label_LTD,label_TER,label_USE,sentences,document
0,0,0,0,0,0,0,0,0,thanks/NNS for/IN sending/VBG us/PRP good/JJ vibes/NNS by/IN using/VBG the/DT various/JJ services/NNS available/JJ within/IN viber/NNP !/. ,Viber.txt
0,0,0,0,0,0,0,0,0,"you/PRP may/MD be/VB surprised/VBN ,/, but/CC we/PRP will/MD refer/VB to/TO all/DT such/JJ services/NNS ,/, including/VBG additional/JJ apps/NNS published/VBN by/IN viber/NNP media/NNP s.a.r.l/NNP ,/, and/CC also/RB third/JJ party/NN services/NNS which/WDT are/VBP powered/VBN by/IN viber/NNP 's/POS technology/NN ,/, as/IN the/DT ``/`` services/NNP ''/'' ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,"the/DT terms/NNS of/IN use/NN -lrb-/-LRB- or/CC ,/, the/DT ``/`` terms/NNS ''/'' -rrb-/-RRB- presented/VBN below/IN are/VBP the/DT basic/JJ rights/NNS and/CC obligations/NNS that/IN you/PRP and/CC us/PRP have/VBP between/IN us/PRP when/WRB you/PRP use/VBP our/PRP$ services/NNPS ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,"the/DT language/NN of/IN the/DT terms/NNS will/MD seem/VB legal/JJ -lrb-/-LRB- basically/RB ,/, because/IN they/PRP are/VBP -rrb-/-RRB- but/CC we/PRP still/RB tried/VBD to/TO make/VB them/PRP as/IN simple/JJ as/IN possible/JJ for/IN you/PRP to/TO read/VB ,/, so/RB that/IN we/PRP are/VBP sure/JJ that/IN you/PRP knowingly/RB choose/VB to/TO enjoy/VB our/PRP$ services/NNPS under/IN these/DT binding/NN terms/NNS -lrb-/-LRB- which/WDT actually/RB constitute/VBP a/DT binding/NN agreement/NN between/IN viber/NNP media/NNP s.a/NNP r.l./NNP and/CC yourself/PRP -rrb-/-RRB- ./. ",Viber.txt
1,0,0,0,0,0,0,0,1,"when/WRB you/PRP use/VBP our/PRP$ services/NNPS ,/, in/IN addition/NN to/TO enjoying/VBG a/DT world/NN of/IN good/JJ vibes/NNS ,/, you/PRP also/RB agree/VBP to/TO the/DT terms/NNS and/CC they/PRP affect/VBP your/PRP$ rights/NNS and/CC obligations/NNS ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,"you/PRP can/MD choose/VB not/RB to/TO enjoy/VB the/DT services/NNPS ,/, if/IN you/PRP do/VBP n't/RB want/VB these/DT terms/NNS to/TO apply/VB -lrb-/-LRB- and/CC by/IN these/DT terms/NNS we/PRP also/RB mean/VB our/PRP$ privacy/NNP policy/NNP ,/, cookies/NNP and/CC tracking/NNP technologies/NNPS policy/NNP ,/, dmca/NNP policy/NNP ,/, and/CC other/JJ policies/NNS on/IN our/PRP$ policies/NNS page/NN ,/, which/WDT are/VBP incorporated/VBN herein/RB -rrb-/-RRB- ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,no/DT access/NNP to/TO emergency/NNP services/NNS :/: viber/NNP is/VBZ not/RB a/DT replacement/NN for/IN your/PRP$ ordinary/JJ mobile/JJ or/CC fixed/JJ line/NN telephone/NN and/CC does/VBZ not/RB allow/VB you/PRP to/TO make/VB emergency/NN calls/VBZ to/TO emergency/NN services/NNS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,you/PRP must/MD make/VB alternative/JJ communication/NN arrangements/NNS to/TO ensure/VB that/IN you/PRP can/MD make/VB emergency/NN calls/NNS if/IN needed/VBN ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"some/DT features/NNS of/IN our/PRP$ services/NNPS may/MD be/VB subject/JJ to/TO additional/JJ terms/NNS and/CC conditions/NNS ,/, which/WDT you/PRP should/MD read/VB before/IN making/VBG use/NN of/IN those/DT features/NNS ,/, and/CC they/PRP add/VBP up/RP to/TO these/DT terms/NNS ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,"you/PRP understand/VBP that/IN ,/, just/RB like/IN a/DT regular/JJ mobile/JJ phone/NN service/NN ,/, anyone/NN with/IN knowledge/NN of/IN your/PRP$ phone/NN number/NN may/MD call/VB you/PRP or/CC send/VB you/PRP messages/NNS through/IN our/PRP$ services/NNPS and/CC anyone/NN you/PRP send/VBP a/DT message/NN to/TO can/MD use/VB the/DT content/NN of/IN your/PRP$ message/NN as/IN they/PRP desire/VBP ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,legal/JJ capacity/NN ;/: children/NNP and/CC minors/NNPS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"if/IN you/PRP are/VBP under/IN the/DT age/NN of/IN consent/NN in/IN your/PRP$ country/NN to/TO form/VB a/DT binding/NN agreement/NN ,/, you/PRP should/MD only/RB use/VB our/PRP$ service/NNP if/IN you/PRP are/VBP either/RB an/DT emancipated/VBN minor/JJ ,/, or/CC have/VBP the/DT legal/JJ consent/NN of/IN your/PRP$ parent/NN or/CC guardian/NN for/IN your/PRP$ use/NN of/IN our/PRP$ service/NN ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,you/PRP should/MD use/VB our/PRP$ service/NNP only/RB if/IN you/PRP are/VBP fully/RB able/JJ to/TO understand/VB and/CC enter/VB into/IN and/CC comply/VB with/IN these/DT terms/NNS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"our/PRP$ services/NNPS are/VBP not/RB intended/VBN for/IN children/NNS under/IN 13/CD :/: if/IN you/PRP are/VBP under/IN 13/CD ,/, please/VB wait/VB until/IN you/PRP turn/VBP 13/CD to/TO use/VB them/PRP ./. ",Viber.txt
1,0,1,0,0,0,0,0,0,"we/PRP are/VBP always/RB working/VBG on/IN adding/VBG additional/JJ features/NNS to/TO our/PRP$ services/NNPS ,/, and/CC because/IN of/IN that/DT ,/, and/CC also/RB since/IN sometimes/RB applicable/JJ laws/NNS change/VBP ,/, we/PRP may/MD revise/VB and/CC reissue/VB these/DT terms/NNS occasionally/RB ,/, by/IN posting/VBG updated/VBN terms/NNS at/IN //: viber-terms-use/NN ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,you/PRP consent/VBP and/CC agree/VBP to/TO receive/VB notices/NNS of/IN updates/NNS of/IN these/DT terms/NNS through/IN our/PRP$ posting/VBG of/IN updated/VBN terms/NNS on/IN the/DT services/NNPS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,you/PRP should/MD visit/VB this/DT page/NN regularly/RB to/TO review/VB the/DT current/JJ terms/NNS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"if/IN you/PRP do/VBP not/RB agree/VB to/TO updated/VBN terms/NNS ,/, you/PRP should/MD stop/VB using/VBG our/PRP$ services/NNPS and/or/CC close/VB your/PRP$ account/NN ./. ",Viber.txt
1,0,0,0,0,0,0,0,1,your/PRP$ continued/VBN use/NN of/IN any/DT of/IN our/PRP$ services/NNPS will/MD be/VB deemed/VBN as/IN your/PRP$ acceptance/NN of/IN any/DT revisions/NNS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,the/DT information/NN you/PRP give/VBP us/NNP to/TO use/VB the/DT service/NNP must/MD be/VB correct/NNP ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"to/TO access/VB the/DT viber/NNP service/NNP or/CC some/DT of/IN the/DT features/NNS we/PRP offer/VBP in/IN the/DT viber/NNP service/NNP ,/, you/PRP will/MD be/VB asked/VBN to/TO provide/VB true/JJ and/CC complete/JJ registration/NN details/NNS ./. ",Viber.txt
1,0,0,0,0,0,0,1,0,"if/IN we/PRP at/IN viber/NNP believe/VBP the/DT details/NNS are/VBP not/RB correct/VB ,/, current/JJ ,/, or/CC complete/JJ ,/, we/PRP have/VBP the/DT right/JJ prevent/VBP you/PRP from/IN accessing/VBG our/PRP$ services/NNPS ,/, or/CC any/DT of/IN its/PRP$ resources/NNS and/CC to/TO terminate/VB or/CC suspend/VB your/PRP$ account/NN ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,your/PRP$ privacy/NN is/VBZ important/JJ to/TO us/PRP ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"to/TO better/RBR protect/VB your/PRP$ privacy/NN ,/, we/PRP provide/VBP notices/NNS explaining/VBG our/PRP$ information/NN practices/NNS and/CC the/DT choices/NNS you/PRP can/MD make/VB about/IN the/DT way/NN your/PRP$ information/NN is/VBZ collected/VBN and/CC used/VBN at/IN our/PRP$ services/NNPS ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,click/VB here/RB to/TO view/VB our/PRP$ privacy/NNP policy/NNP ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"our/PRP$ services/NNPS and/CC materials/NNS incorporated/VBN by/IN viber/NNP on/IN our/PRP$ services/NNP -lrb-/-LRB- ``/`` material/NN ''/'' -rrb-/-RRB- are/VBP protected/VBN by/IN copyrights/NNS ,/, patents/NNS ,/, trade/NN secrets/NNS or/CC other/JJ proprietary/JJ rights/NNS -lrb-/-LRB- ``/`` copyrights/NNS ''/'' -rrb-/-RRB- ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,"some/DT of/IN the/DT characters/NNS ,/, logos/NNS ,/, or/CC other/JJ images/NNS incorporated/VBN by/IN viber/NNP in/IN our/PRP$ services/NNPS are/VBP also/RB protected/VBN as/IN registered/VBN or/CC unregistered/JJ trademarks/NNS ,/, trade/NN names/NNS ,/, and/or/CC service/NN marks/NNS owned/VBN by/IN viber/NNP or/CC others/NNS -lrb-/-LRB- ``/`` trademarks/NNS ''/'' -rrb-/-RRB- ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,"viber/NNP or/CC its/PRP$ licensors/NNS own/VBP the/DT title/NN ,/, copyright/NN ,/, and/CC other/JJ intellectual/JJ property/NN rights/NNS in/IN the/DT material/NNP and/CC service/NNP ,/, and/CC by/IN using/VBG our/PRP$ services/NNPS ,/, you/PRP do/VBP not/RB acquire/VB any/DT ownership/NN rights/NNS in/IN service/NNP or/CC materials/NNPS contained/VBD therein/RB ./. ",Viber.txt
0,0,0,0,0,0,0,0,0,viber/NNP respects/VBZ the/DT intellectual/JJ property/NN rights/NNS of/IN others/NNS and/CC asks/VBZ users/NNS of/IN our/PRP$ services/NNPS to/TO do/VB the/DT same/JJ ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,your/PRP$ use/NN of/IN our/PRP$ material/NNP ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,your/PRP$ right/NN to/TO make/VB use/NN of/IN our/PRP$ service/NN and/CC any/DT material/NN or/CC other/JJ content/JJ appearing/VBG on/IN it/PRP is/VBZ subject/JJ to/TO your/PRP$ compliance/NN with/IN these/DT terms/NNS ./. ,Viber.txt
0,0,0,0,0,0,0,0,0,"you/PRP may/MD not/RB modify/VB ,/, or/CC use/VB the/DT material/NN or/CC any/DT other/JJ content/NN on/IN our/PRP$ services/NNPS for/IN any/DT purpose/NN not/RB permitted/VBN by/IN these/DT terms/NNS ./. ",Viber.txt
